Run;Gamma_MC;Gamma_Antithetic
229;0.0190918;0.0204345
230;0.0192797;0.0199413
231;0.0189911;0.0170001
232;0.0190527;0.018468
233;0.0186627;0.0189247
234;0.0186224;0.0190129
235;0.0181208;0.0189174
236;0.0188676;0.0191082
237;0.0184132;0.0180452
238;0.0181597;0.0177834
239;0.0173288;0.017797
240;0.020144;0.0176544
241;0.0189215;0.0192679
242;0.0188515;0.0191547
243;0.0183304;0.0176136
244;0.01998;0.0169934
245;0.0192665;0.0183417
246;0.0175137;0.0181813
247;0.018724;0.0184324
248;0.0207838;0.0183603
249;0.0189255;0.0195775
250;0.0185466;0.0190949
251;0.0184672;0.0180287
252;0.0180137;0.01813
253;0.0183919;0.0181512
254;0.0207114;0.0174286
255;0.0179234;0.0184846
256;0.0179152;0.0192548
257;0.0189344;0.0188246
258;0.0187496;0.0197234
259;0.0187624;0.0189467
260;0.0186162;0.0184822
261;0.0194645;0.0193722
262;0.0196278;0.0185886
263;0.0187533;0.0193569
264;0.0179909;0.0195229
265;0.0192322;0.0189469
266;0.019002;0.0182972
267;0.0197842;0.0197736
268;0.0200286;0.0179495
269;0.0192967;0.0184126
270;0.0184303;0.018717
271;0.0192503;0.0194506
272;0.0181655;0.0169473
273;0.0190039;0.019166
274;0.0189555;0.0192723
275;0.0190532;0.0199333
276;0.019002;0.0171965
277;0.019781;0.0184399
278;0.0172659;0.0183786
279;0.019592;0.0193344
280;0.0187213;0.0183358
281;0.0175262;0.0197067
282;0.0190699;0.0176043
283;0.0182252;0.0181045
284;0.0195782;0.0190823
285;0.0205242;0.0192928
286;0.0180329;0.0188432
287;0.0187664;0.0181156
288;0.0175067;0.0186772
289;0.0184449;0.0192078
290;0.0184695;0.017576
291;0.0189512;0.0189401
292;0.0201274;0.0189345
293;0.0176936;0.0196687
294;0.0187334;0.016235
295;0.018866;0.0182011
296;0.0185827;0.020585
297;0.0192894;0.0190058
298;0.019013;0.0188511
299;0.0179405;0.0190492
