Run;Delta_PW;Delta_PW_Ant;Delta_PW_Ant_CV
186;0.58526;0.590142;5.21699
187;0.582357;0.590922;5.23299
188;0.591902;0.590567;5.22412
189;0.594183;0.59025;5.21314
190;0.58878;0.58968;5.2271
191;0.585032;0.59122;5.21924
192;0.586084;0.590005;5.22854
193;0.588414;0.589612;5.21241
194;0.592176;0.591635;5.20246
195;0.591439;0.590395;5.22487
196;0.591798;0.5934;5.22131
197;0.583143;0.588808;5.23566
198;0.591717;0.591202;5.21973
199;0.595539;0.590171;5.21244
200;0.585386;0.590257;5.22478
201;0.584531;0.589446;5.22495
202;0.591642;0.588286;5.22693
203;0.590472;0.591064;5.22835
204;0.585761;0.590902;5.23828
205;0.591504;0.588605;5.22398
206;0.593294;0.590032;5.23535
207;0.596174;0.590497;5.22325
208;0.594709;0.588088;5.2159
209;0.593886;0.589881;5.22125
210;0.584391;0.588685;5.22359
211;0.594956;0.590245;5.22208
212;0.584874;0.589461;5.23251
213;0.59632;0.590002;5.22473
214;0.588944;0.589904;5.22456
215;0.58939;0.590675;5.22651
216;0.587856;0.589146;5.23222
217;0.590871;0.590313;5.21245
218;0.589129;0.589952;5.2275
219;0.59612;0.588124;5.22582
220;0.590305;0.591249;5.24015
221;0.591741;0.590401;5.22241
222;0.583365;0.589953;5.20799
223;0.58259;0.590151;5.22316
224;0.593138;0.590251;5.22174
225;0.592064;0.59044;5.23536
226;0.594499;0.589109;5.22882
227;0.590562;0.589182;5.21798
228;0.589727;0.588644;5.22128
229;0.589549;0.589424;5.22837
230;0.591188;0.590174;5.2406
231;0.588692;0.590613;5.25405
232;0.589937;0.590395;5.22757
233;0.588201;0.588597;5.21051
234;0.597775;0.589328;5.22502
235;0.596042;0.590383;5.22991
236;0.584213;0.588614;5.22286
237;0.590597;0.590114;5.23451
238;0.586989;0.589541;5.22319
239;0.595696;0.589165;5.21534
240;0.593177;0.59291;5.23191
241;0.593617;0.590053;5.21834
242;0.586222;0.588484;5.23549
243;0.591369;0.589992;5.21819
244;0.586018;0.589599;5.23038
245;0.592584;0.59113;5.23355
246;0.585448;0.589205;5.21172
247;0.58786;0.591497;5.23592
248;0.591586;0.591431;5.21867
249;0.58238;0.591073;5.22667
250;0.584997;0.591909;5.23472
251;0.58905;0.588564;5.22115
252;0.594958;0.58761;5.22598
253;0.584668;0.589338;5.23181
254;0.591646;0.59206;5.23899
255;0.592804;0.58993;5.21686
256;0.593377;0.590914;5.22282
257;0.589089;0.591418;5.23406
258;0.587069;0.590188;5.20928
259;0.590839;0.589502;5.22491
260;0.583834;0.590329;5.21609
261;0.589984;0.590558;5.2208
262;0.593116;0.590304;5.22936
263;0.585744;0.589529;5.23132
264;0.588993;0.591012;5.22804
265;0.589222;0.590893;5.21112
266;0.590173;0.592274;5.23067
267;0.590275;0.589874;5.22815
