Run;Gamma_MC;Gamma_Antithetic
230;0.0188529;0.0193781
231;0.0181767;0.0185355
232;0.0182851;0.0183988
233;0.0195659;0.0181063
234;0.0187687;0.0179028
235;0.0187225;0.0192493
236;0.0188578;0.0181243
237;0.017443;0.020178
238;0.0199407;0.0191736
239;0.0197131;0.0191071
240;0.0180375;0.017722
241;0.0172652;0.0188943
242;0.0177714;0.019186
243;0.0189859;0.0172812
244;0.0190417;0.0187785
245;0.0182209;0.0198866
246;0.0173024;0.0177342
247;0.0185332;0.0186021
248;0.0165875;0.0182565
249;0.0200578;0.0169511
250;0.0181011;0.0190202
251;0.0178973;0.0186376
252;0.0178348;0.0189997
253;0.0183234;0.0180778
254;0.0188011;0.0174457
255;0.0174567;0.0195859
256;0.0183622;0.0185011
257;0.018789;0.0181744
258;0.0190208;0.0192179
259;0.0183133;0.0196198
260;0.019584;0.0194536
261;0.0183761;0.0190243
262;0.0187416;0.0194182
263;0.0185588;0.018061
264;0.0183239;0.0186543
265;0.018319;0.0187539
266;0.0172717;0.0193937
267;0.017955;0.0190174
268;0.0195636;0.0199946
269;0.0193658;0.018755
270;0.019266;0.020201
271;0.0174436;0.0197396
272;0.0193509;0.0191414
273;0.0187488;0.0189535
274;0.0194689;0.0178756
275;0.018956;0.0198507
276;0.0182211;0.0185645
277;0.0184271;0.0172012
278;0.0175133;0.0205281
279;0.0189913;0.01895
280;0.0198646;0.0186075
281;0.018888;0.0180582
282;0.0197114;0.0205914
283;0.0178617;0.0183584
284;0.0180421;0.0180825
285;0.019079;0.0200613
286;0.0186939;0.0199961
287;0.0201147;0.0185887
288;0.019029;0.019304
289;0.0183568;0.0180932
290;0.0183188;0.0185111
291;0.020647;0.0196172
292;0.018116;0.0183472
293;0.0201443;0.0185294
294;0.0184947;0.0183192
295;0.0189986;0.0187498
296;0.0186889;0.0185619
297;0.0185425;0.0187648
298;0.0172807;0.0199935
299;0.0194208;0.0176017
300;0.0193693;0.0189422
301;0.0180615;0.0190929
302;0.0193325;0.0185265
303;0.0173516;0.0189523
304;0.0179935;0.0178877
305;0.0185418;0.018691
306;0.0189096;0.0189218
307;0.0200863;0.0200782
308;0.016917;0.0190884
309;0.0187436;0.0194607
310;0.0177464;0.0188787
311;0.0183177;0.0196206
312;0.0182492;0.0194592
313;0.0194346;0.0178296
314;0.0191357;0.0184744
315;0.0189795;0.0178951
316;0.0185958;0.0189383
317;0.0191644;0.0175912
318;0.0190501;0.0192869
319;0.0178947;0.0185454
320;0.0189316;0.019722
321;0.019011;0.0178864
322;0.0192896;0.0189472
323;0.0201416;0.0181663
324;0.018221;0.0183725
325;0.0182137;0.0205157
326;0.0194149;0.0193192
327;0.0188432;0.0185623
328;0.0194196;0.0184391
329;0.0179825;0.0203195
330;0.0187109;0.0188181
331;0.0191216;0.0185748
332;0.0194313;0.0189696
333;0.0171645;0.0187492
334;0.0187325;0.020074
335;0.0189308;0.0194523
336;0.017647;0.0191818
337;0.0187005;0.0182925
338;0.018986;0.019582
339;0.0180416;0.0189354
340;0.0200737;0.0169847
341;0.0192634;0.0180882
342;0.0188704;0.0193114
343;0.0202528;0.0174782
344;0.0204693;0.0194531
345;0.0185691;0.0184095
346;0.0177856;0.018588
347;0.0191986;0.0186939
348;0.0193344;0.018478
349;0.0189269;0.0196622
350;0.0188408;0.0187354
351;0.0194709;0.0186212
352;0.018508;0.0190347
353;0.0196782;0.0183386
354;0.0189814;0.0189133
355;0.0182284;0.0188276
356;0.0203427;0.0184676
357;0.0181756;0.0187642
358;0.0177946;0.0191349
359;0.0191016;0.0190191
360;0.0199445;0.0195212
361;0.0198106;0.0189059
362;0.0187805;0.0173898
363;0.0196237;0.0200798
364;0.0188954;0.0177959
365;0.017863;0.0186877
366;0.0189381;0.0179522
367;0.0187338;0.0199579
368;0.0191811;0.018329
369;0.0183841;0.0183273
370;0.0197833;0.0188305
371;0.0191482;0.0178234
372;0.0190304;0.0182632
373;0.01948;0.0189544
374;0.0183771;0.0188637
375;0.0186917;0.0191373
376;0.0196015;0.0175514
377;0.0186113;0.0186283
378;0.0183427;0.0183288
379;0.0181156;0.019528
380;0.0193159;0.0195097
381;0.0188059;0.0193691
382;0.0180928;0.0183945
383;0.0189987;0.0183085
384;0.0180977;0.0192284
385;0.0192179;0.018246
386;0.0195118;0.0193549
387;0.0178261;0.0188032
388;0.0206233;0.0201829
389;0.0191045;0.0196054
390;0.0197663;0.0191585
391;0.0189141;0.0194675
392;0.0191474;0.0192662
393;0.0195455;0.0188083
394;0.0191799;0.0184786
395;0.0185942;0.0174885
396;0.0171033;0.0185844
397;0.0187169;0.0191456
398;0.0191367;0.0192668
399;0.0191146;0.020159
400;0.0181458;0.0188554
401;0.0186726;0.0206044
402;0.0197206;0.017947
403;0.0187979;0.0183063
404;0.0177493;0.0181524
405;0.0201462;0.0183336
406;0.0188126;0.0195217
407;0.0180158;0.0203456
408;0.0173555;0.019316
409;0.0194074;0.0183441
410;0.0186757;0.0179369
411;0.0198444;0.0180299
412;0.018602;0.018492
413;0.0202932;0.0171077
414;0.0204242;0.0195888
415;0.0201118;0.0188999
416;0.0188566;0.0201793
417;0.0188906;0.0186322
418;0.0183564;0.0201245
419;0.0199953;0.0190895
420;0.0185625;0.0193308
421;0.0169898;0.0172823
422;0.0201676;0.0179081
423;0.0196098;0.0200392
424;0.0198658;0.0194014
425;0.0192128;0.0188247
426;0.0188661;0.0182314
427;0.0188432;0.0178274
428;0.0201311;0.0183567
429;0.0184331;0.0198002
430;0.0198083;0.018961
431;0.0188551;0.0198402
432;0.0191315;0.0187059
433;0.0184242;0.0187587
434;0.0180018;0.0197286
435;0.0190136;0.0196034
436;0.0193436;0.018406
437;0.01951;0.019048
438;0.0185798;0.0181334
439;0.0189573;0.0172053
440;0.0190187;0.0197162
441;0.018408;0.0189718
442;0.0192817;0.0193388
443;0.0168498;0.0191374
444;0.0198189;0.0186029
445;0.0180485;0.018798
446;0.0181596;0.0176009
447;0.0189448;0.0189983
448;0.0182572;0.0187573
449;0.0192459;0.0189804
450;0.0193759;0.0175976
451;0.018343;0.0193755
452;0.0185774;0.0189896
453;0.0186115;0.0190993
454;0.0193026;0.0186637
455;0.0198709;0.0186311
456;0.0189567;0.0192633
457;0.0183261;0.0192376
458;0.0177021;0.0195069
459;0.0193214;0.0182624
460;0.0180215;0.0192047
461;0.017706;0.0188234
462;0.0178381;0.0189531
463;0.0176733;0.0189085
464;0.0191422;0.0193749
465;0.018517;0.0198992
466;0.0181437;0.0185049
467;0.019225;0.0190501
468;0.0194064;0.0182724
469;0.0194148;0.0182073
470;0.0179281;0.0171665
471;0.0191603;0.0188083
472;0.0185943;0.0178424
473;0.0186288;0.0189405
474;0.0189183;0.0196632
475;0.0182761;0.0182634
476;0.0188378;0.0174243
477;0.0184334;0.0181275
478;0.0196957;0.0182939
479;0.0184024;0.0192073
480;0.0186514;0.0186549
481;0.018946;0.0192877
482;0.0191164;0.0189335
483;0.0184467;0.0203893
